ACTIVE U.S. SKI AREAS - 2025-26,,CORE STATS,,,CLASSIFICATION (Current year totals),,PASS AFFILIATIONS,RECENT OPERATING HISTORY,,,,LIFT FLEETS,,,,,,,,,,,,,,,,,,
,,Avg.,Total,Avg.,Public w/Aerial Lifts Total,370,,Annual Totals,,,,National Totals,,,,,,,,,,,,,,,,,,
,,963,"244,141",164,Public - Surface Lifts Only Total,92,,491,499,509,324,12,50,6,3,5,112,6,382,406,505,2,524,2,91,7,59,389,633,3192
,,,,,Private w/Aerial Lifts Total,19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Private - Surface Lifts Only Total,22,,,,,,,,,,,,,,,,,,,,,,,,
LOCATION,MOUNTAIN,"Lift-Served Vertical 
Drop (feet)","Lift-Served 
Skiable Acres","Average Annual Snow
(claimed, inches)","OPERATING
CLASS",OWNER,PASS AFFILIATIONS,"OPERATED
23/24?","OPERATED
24/25?","ANTICIPATE
OPERATING
25/26?","CONFIRMED
OPERATING
25/26?",Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,TOTAL LIFTS
,Cuchara,266,43,200,"Public w/Aerial Lifts, On Status Watch",,"Indy, Indy+",w/o Lifts,w/o Lifts,Yes,,0,,,,,,,,,,,1,,,,,,,1
,Echo Mountain,600,60,150,Public w/Aerial Lifts,Independent,"Indy, Indy+, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,,0,,,,,,,,,1,,,,,,,,1,2
,Eldora,"1,240",680,225,Public w/Aerial Lifts,Independent,"Ikon, Ikon Base, Ikon Session, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,,,,,1,,,2,1,,3,,,,1,1,1,10
,Frisco,N/A,,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,,1,1
,Granby Ranch,"1,000",406,200,Public w/Aerial Lifts,Independent,"Indy, Indy+, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,1,1,1,,1,,,,,,2,6
,Hoedown Hill,130,12,24,Public - Surface Lifts Only,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,,,,,4,4
,Howelsen Hill,440,50,170,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,,,1,,,,,,1,,2,4
,Kendall Mountain,240,16,200,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,1,,,,,,,1
,Keystone,"2,920","3,149",235,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Tahoe Local, Epic Summit Value, Epic Keystone Plus, Epic Day All, Epic Day 32, Epic School Kids",Yes,Yes,Yes,Yes,0,2,,,,4,,3,1,1,,2,,,,,,7,20
,Lake City,250,14,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,1,,,1
,Lee's,75,2,134,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
,Loveland Basin,"1,890","1,800",337,Public w/Aerial Lifts,Independent,"Indy, Indy+, Powder Alliance, Power Pass Full, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,1,2,4,,,,,,,,,7
,Loveland Valley,810,,,Public w/Aerial Lifts,Independent,"Indy, Indy+, Powder Alliance, Power Pass Full, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,,2,,,,,,,,,2,4
,Monarch,"1,162","1,177",308,Public w/Aerial Lifts,Independent,"Power Pass Full, Power Pass Select, Power Pass Core, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,,1,1,,4,,,,,,1,7
