country,state,resort_name,vertical_drop_ft,skiable_acres,avg_annual_snow_in,operating_class,owner,pass_affiliations,operated_2324,operated_2425,anticipated_2526,confirmed_2526
USA,Indiana,Paoli Peaks,300,65,18,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Day All, Epic Day 32, Epic Day 22",Yes,Yes,Yes,
USA,Indiana,Perfect North,400,100,10,Public w/Aerial Lifts,Perfect Family,Perfect Pass,Yes,Yes,Yes,Yes
USA,Iowa,Crescent Hill at Hitchcock,300,50,30,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes
USA,Iowa,Seven Oaks,240,35,40,Public w/Aerial Lifts,Independent,Freedom,Yes,Yes,Yes,Yes
USA,Iowa,Sundown,475,85,50,Public w/Aerial Lifts,Independent,"Indy, Indy+, Indy Learn-To-Turn",Yes,Yes,Yes,Yes
USA,Maine,Baker,460,,,Public - Surface Lifts Only,Independent,"Ski Maine Mountain Pass, Winter Kids Maine Passport",Yes,Yes,Yes,
USA,Maine,Big Moose,587,,136,Public w/Aerial Lifts,Independent,"Indy, Indy+, Uphill New England, Ski Maine Mountain Pass, Winter Kids Maine Passport",Yes,Yes,Yes,
USA,Maine,Bigrock,920,90,94,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski Maine Mountain Pass, Indy Learn-To-Turn, Winter Kids Maine Passport",Yes,Yes,Yes,Yes
USA,Maine,Black Mountain of Maine,1150,300,120,Public w/Aerial Lifts,Independent,"Indy, Indy+, Uphill New England, Ski Maine Mountain Pass, Winter Kids Maine Passport",Yes,Yes,Yes,
USA,Maine,Camden Snow Bowl,850,105,50,Public w/Aerial Lifts,Independent,"Indy, Indy+, Uphill New England, Ski Maine Mountain Pass, Winter Kids Maine Passport",Yes,Yes,Yes,
USA,Maine,Caribou High School,85,,,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Maine,Hermon Mountain,256,60,90,"Public w/Aerial Lifts, On Status Watch",Independent,Ski Maine Mountain Pass,Yes,Yes,Yes,
USA,Maine,Lonesome Pine,440,,,Public - Surface Lifts Only,Independent,Ski Maine Mountain Pass,Yes,Yes,Yes,
USA,Maine,Lost Valley,240,45,99,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski Maine Mountain Pass, Freedom, Winter Kids Maine Passport",Yes,Yes,Yes,Yes
USA,Maine,Mount Abram,1050,170,115,Public w/Aerial Lifts,Independent,"Indy, Indy+, Uphill New England, Ski Maine Mountain Pass, Indy Learn-To-Turn, Winter Kids Maine Passport",Yes,Yes,Yes,
USA,Maine,Mount Jefferson,432,160,75,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Maine,O'Connor (Kent School),210,,,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Maine,Pinnacle,100,,,Public - Surface Lifts Only,Independent,,No,Yes,Yes,
USA,Maine,Pleasant Mountain,1300,249,110,Public w/Aerial Lifts,Boyne Resorts,"New England Pass, Boyne Passport, Boyne Explorer, Snow Triple Play, New England Day, Michigan Pass, Ski Maine Mountain Pass",Yes,Yes,Yes,Yes
USA,Maine,Powderhouse Hill,175,,,Public - Surface Lifts Only,Independent,Ski Maine Mountain Pass,Yes,Yes,Yes,Yes
USA,Maine,Quarry Road,75,,,Public - Surface Lifts Only,Independent,Winter Kids Maine Passport,Yes,Yes,Yes,
USA,Maine,Quoggy Joe,215,,,Public - Surface Lifts Only,Independent,"Ski Maine Mountain Pass, Winter Kids Maine Passport",Yes,Yes,Yes,
USA,Maine,Saddleback,1850,600,225,Public w/Aerial Lifts,Independent,"Indy, Indy+, Uphill New England, Ski Maine Mountain Pass",Yes,Yes,Yes,Yes
USA,Maine,Spruce Mountain,300,,,Public - Surface Lifts Only,Independent,Ski Maine Mountain Pass,Yes,Yes,Yes,
USA,Maine,Sugarloaf,2748,1360,200,Public w/Aerial Lifts,Boyne Resorts,"Ikon, Ikon Base, Ikon Session, Mountain Collective, New England Pass, New England Day, Boyne Passport, Boyne Explorer, Michigan Pass, Ski Maine Mountain Pass",Yes,Yes,Yes,Yes
USA,Maine,Sunday River,2350,1184,167,Public w/Aerial Lifts,Boyne Resorts,"Ikon, Ikon Base, Ikon Session, Mountain Collective, New England Pass, New England Day, Boyne Passport, Boyne Explorer, Michigan Pass, Ski Maine Mountain Pass",Yes,Yes,Yes,Yes
USA,Maine,Titcomb,350,45,85,Public - Surface Lifts Only,Independent,"Ski Maine Mountain Pass, Winter Kids Maine Passport",Yes,Yes,Yes,
USA,Maryland,Wisp,700,132,100,Public w/Aerial Lifts,Pacific Group Resorts,"Indy, Indy+",Yes,Yes,Yes,Yes
USA,Massachusetts,Berkshire East,1180,180,110,Public w/Aerial Lifts,Schaefer Family,"Indy, Indy+, Uphill New England, Berkshire Summit Pass, Indy Learn-To-Turn",Yes,Yes,Yes,Yes
USA,Massachusetts,Blue Hills,309,60,,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,
USA,Massachusetts,Bousquet,750,200,83,Public w/Aerial Lifts,Independent,"Indy, Indy+, Berkshire Summit Pass, Indy Learn-To-Turn",Yes,Yes,Yes,Yes
USA,Massachusetts,Butternut,1000,110,110,Public w/Aerial Lifts,Murdock Family,"Freedom, Snow Triple Play, Ikon",Yes,Yes,Yes,Yes
USA,Massachusetts,Catamount,1000,133,108,Public w/Aerial Lifts,Schaefer Family,"Indy, Indy+, Berkshire Summit Pass, Uphill New England, Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes
USA,Massachusetts,Easton (Eaglebrook School),440,,,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,
USA,Massachusetts,Jiminy Peak,1150,167.4,100,Public w/Aerial Lifts,Fairbank Group,"Ikon, Uphill New England",Yes,Yes,Yes,Yes
USA,Massachusetts,Mt. Greylock Ski Club,350,,,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Massachusetts,Nashoba Valley,240,59,50,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes
USA,Massachusetts,Otis Ridge,400,70,70,Public w/Aerial Lifts,Murdock Family,,Yes,Yes,Yes,
USA,Massachusetts,Ski Bradford,220,48,,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,
USA,Massachusetts,Ski Ward,220,45,80,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes
USA,Massachusetts,Wachusett,1000,110,100,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes
USA,Michigan,Adventure Mountain (UP),134,,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Michigan,Alpine Valley MI,300,100,8,Public w/Aerial Lifts,Wisconsin Resorts,"Wisconsin Resorts, Michigan White Gold Card",Yes,Yes,Yes,Yes
USA,Michigan,Big Powderhorn (UP),622,253,204,Public w/Aerial Lifts,Independent,"Indy, Indy+, Michigan White Gold Card",Yes,Yes,Yes,Yes
USA,Michigan,Big Valley (UP),140,5,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Michigan,Bittersweet,350,100,90,Public w/Aerial Lifts,Wisconsin Resorts,"Wisconsin Resorts, Michigan White Gold Card, Michigan Kids Passport",Yes,Yes,Yes,Yes
USA,Michigan,Boyne Mountain,420,435,140,Public w/Aerial Lifts,Boyne Resorts,"Ikon, Ikon Base, Ikon Session, Boyne Passport, Boyne Explorer, New England Pass, Michigan Pass, Michigan White Gold Card, Michigan Kids Passport",Yes,Yes,Yes,Yes
USA,Michigan,Caberfae Peaks,485,200,120,Public w/Aerial Lifts,Independent,"Indy, Indy+, Freedom, Michigan White Gold Card, Michigan Kids Passport",Yes,Yes,Yes,Yes
USA,Michigan,Cannonsburg,250,100,100,Public w/Aerial Lifts,Independent,"Michigan White Gold Card, Michigan Kids Passport",Yes,Yes,Yes,Yes
USA,Michigan,Challenge Mountain,370,,,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Michigan,Covington (UP),115,,,Public - Surface Lifts Only,Independent,,No,Yes,Yes,
USA,Michigan,Crystal Mountain MI,375,103,132,Public w/Aerial Lifts,Independent,"Indy, Indy+, Michigan White Gold Card, Michigan Kids Passport",Yes,Yes,Yes,Yes
USA,Michigan,Crystella (UP),69,,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Michigan,Gladstone (UP) (J&M Bess),131,25,50,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Michigan,Hanson Hills,225,125,60,Public - Surface Lifts Only,Independent,"Michigan White Gold Card, Michigan Kids Passport",Yes,Yes,Yes,
USA,Michigan,Hiawatha (Chatham) (UP),86,,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Michigan,Hickory Hills,237,125,60,Public - Surface Lifts Only,Independent,"Michigan White Gold Card, Michigan Kids Passport",Yes,Yes,Yes,
USA,Michigan,Homestead,225,16,,Public w/Aerial Lifts,Independent,"Michigan White Gold Card, Michigan Kids Passport",Yes,Yes,Yes,
USA,Michigan,Marquette Mountain (UP),540,330,210,Public w/Aerial Lifts,Independent,"Indy, Indy+, Michigan White Gold Card, Michigan Kids Passport, Indy Learn-To-Turn",Yes,Yes,Yes,Yes
USA,Michigan,Missaukee Mountain,157,25,90,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Michigan,Mont Ripley (UP),470,115,275,Public w/Aerial Lifts,Independent,"Indy Allied, Michigan White Gold Card, Michigan Kids Passport",Yes,Yes,Yes,Yes
USA,Michigan,Mount Bohemia (UP),898,585,273,Public w/Aerial Lifts,Independent,Michigan White Gold Card,Yes,Yes,Yes,Yes
USA,Michigan,Mount Brighton,230,130,60,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Day All, Epic Day 32, Epic Day 22, Michigan White Gold Card, Michigan Kids Passport",Yes,Yes,Yes,Yes
USA,Michigan,Mount Holiday,200,45,59,Public w/Aerial Lifts,Independent,"Indy, Indy+, Michigan White Gold Card, Indy Learn-To-Turn, Michigan Kids Passport",Yes,Yes,Yes,
USA,Michigan,Mount Holly,350,100,42,Public w/Aerial Lifts,Wisconsin Resorts,"Wisconsin Resorts, Michigan White Gold Card, Michigan Kids Passport",Yes,Yes,Yes,Yes
USA,Michigan,Mount McSauba (Charlevoix Mountain Ski Hill),150,80,120,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Michigan,Mount Zion (UP),300,20,200,Public w/Aerial Lifts,Independent,Michigan White Gold Card,Yes,Yes,Yes,
USA,Michigan,Mulligan’s Hollow,130,7,60,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Michigan,Norway Mountain,500,160,33,Public w/Aerial Lifts,Independent,"Indy, Indy+, Freedom, Michigan White Gold Card, Michigan Kids Passport",No,Yes,Yes,
USA,Michigan,Nub’s Nob,425,248,125,Public w/Aerial Lifts,Independent,"Indy, Indy+, Michigan White Gold Card, Indy Learn-To-Turn, Michigan Kids Passport",Yes,Yes,Yes,Yes
USA,Michigan,Otsego,400,160,155,Public w/Aerial Lifts,Independent,"Michigan White Gold Card, Michigan Kids Passport",Yes,Yes,Yes,
USA,Michigan,Pine Knob,300,80,60,Public w/Aerial Lifts,Wisconsin Resorts,"Wisconsin Resorts, Michigan White Gold Card",Yes,Yes,Yes,Yes
